year,count,mean,median,std,min,max
1982,12,27.358333333333334,27.35,0.7573378414291773,25.9,28.4
1983,12,27.666666666666668,27.85,1.1105554165971798,25.4,29.4
1984,12,26.766666666666666,27.0,0.6984832051515538,25.5,27.5
1985,12,27.116666666666664,27.0,0.622068884424946,26.1,28.2
1986,12,27.099999999999998,26.9,0.8312094145936337,25.7,28.3
1987,12,27.375,27.55,0.854001277410158,25.5,28.7
1988,12,27.233333333333334,27.200000000000003,0.6443225241690029,26.2,28.4
1989,12,26.916666666666668,26.95,0.45293654649576975,26.3,27.7
1990,12,27.59166666666667,27.55,0.7867751594421061,26.2,28.6
1991,12,27.433333333333334,27.6,0.8876253645985939,25.6,28.6
1992,12,27.349999999999998,27.45,0.8836906081367452,25.5,28.4
1993,12,27.433333333333334,27.55,0.8150106896491761,26.2,28.6
1994,12,27.59166666666667,27.9,0.66395280956807,26.7,28.4
1995,12,27.583333333333332,27.700000000000003,0.8099756823884319,26.3,28.9
1996,12,27.491666666666664,27.6,0.741568771203481,26.2,28.5
1997,12,28.25,28.15,0.7573878554851295,27.1,29.3
1998,12,28.3,28.05,0.851736194754305,26.6,29.5
1999,12,27.491666666666664,27.4,0.5484827557301456,26.6,28.3
2000,12,27.458333333333332,27.5,0.6416715859709106,26.3,28.6
2001,12,27.608333333333334,27.65,0.6529072512906242,26.5,28.5
2002,12,28.083333333333332,28.299999999999997,0.6753225940693871,27.0,28.9
2003,12,27.75,27.75,0.8229658117277574,26.5,29.2
2004,12,27.858333333333334,27.75,0.7645061785032856,26.8,29.0
2005,12,28.016666666666666,28.2,0.6780095646058166,26.6,28.8
2006,12,27.724999999999998,27.9,0.6524429616309905,26.5,28.4
2007,12,27.53333333333333,27.7,0.6513389472789312,26.4,28.4
2008,12,27.483333333333334,27.5,0.6886526150697634,26.5,28.8
2009,12,27.916666666666668,28.25,0.7505553499465123,26.8,29.1
2010,12,28.099999999999998,28.15,0.6862281624278399,26.8,29.2
2011,12,27.575,27.55,0.7533259586659664,26.3,28.7
2012,12,27.53333333333333,27.65,0.6110100926607788,26.7,28.7
2013,12,27.650000000000002,27.75,0.7513623989430493,26.5,29.0
2014,12,27.90833333333333,28.049999999999997,0.8218143268882497,26.2,29.0
2015,12,28.25,28.5,0.7255092255537735,26.9,29.1
2016,12,28.416666666666668,28.35,0.6617241025372959,27.4,29.4
2017,12,27.7,27.85,0.6149648918286466,26.9,28.5
2018,12,27.891666666666666,28.0,0.7488880646220326,26.1,28.7
2019,12,28.425,28.5,0.7059809423129577,26.7,29.3
2020,6,28.349999999999998,28.35,0.5205766033928151,27.7,28.9
