start_idx,end_idx,cluster_id,start_month,dist_to_centroid_pca_0,dist_to_centroid_pca_1,dist_to_centroid_pca_2,dist_to_centroid_pca_3
0,11,0,1982-01-01,1.3294693676950744,5.765592794205011,3.9485064202796614,4.658239608622268
1,12,0,1982-02-01,1.7770187244889444,5.829795842074049,4.900968270032777,3.685601951280588
2,13,3,1982-03-01,3.3026184699735692,5.036679508098667,5.451426017358469,2.545198924546525
3,14,3,1982-04-01,4.703645052420929,3.762960473611976,5.484187762542881,2.7592419941123345
4,15,1,1982-05-01,5.532439474306514,2.1319552772728794,4.984860095121133,3.8056608936513485
5,16,1,1982-06-01,5.577840781078654,1.546419336850681,4.247552150092241,4.8265201992217035
6,17,1,1982-07-01,5.3476367079723115,2.5401538264137358,3.1887518476985734,5.417904744550096
7,18,2,1982-08-01,4.803445785620474,4.0398424231096675,2.0729898684863244,5.578468185809655
8,19,2,1982-09-01,4.219598466929356,4.947000304482499,1.6787984154307238,5.439564020373442
9,20,2,1982-10-01,2.9278242498530282,5.563232934277215,2.7693026367440687,5.1723572125303
10,21,0,1982-11-01,1.9052275254222846,5.6175776892868425,4.047842141439862,4.706129464889426
11,22,0,1982-12-01,1.5073324262060699,5.487814124269896,5.033890451914242,3.956387810057643
12,23,0,1983-01-01,2.7417976919099023,5.267010567745378,5.467647402537465,3.0340588723047612
13,24,3,1983-02-01,3.8487888922903117,5.0463654260715165,5.577029797123366,2.25869956446619
14,25,3,1983-03-01,4.341206286542156,4.823553964124225,5.572082517264525,1.7808331526973213
15,26,3,1983-04-01,4.628194783223186,4.413403479285547,5.63650578172273,1.3407570076447601
16,27,3,1983-05-01,4.997929784794437,3.724952907671816,5.85969225254686,1.490348361649456
17,28,1,1983-06-01,5.423508156084588,2.5170961047159532,5.626060104587022,2.629364748705714
18,29,1,1983-07-01,5.772087909934487,1.3542752097096376,5.026404052028575,3.702231914122005
19,30,1,1983-08-01,5.861234631683846,1.6982274914408022,3.9057565709787267,4.5498488236756325
20,31,2,1983-09-01,5.609520381197702,3.004571710993815,2.51690823433965,5.273867619005367
21,32,2,1983-10-01,4.876416768711687,4.2055328736876305,1.3648581676429445,5.667969011249042
22,33,2,1983-11-01,3.6520547699269525,4.941945263540987,1.8106537665914044,5.731933949820637
23,34,0,1983-12-01,2.2274135086725293,5.40882203505109,3.127035641308483,5.430458862980796
24,35,0,1984-01-01,1.1336196490725479,5.647616740074959,4.110573793335549,4.818299663885742
25,36,0,1984-02-01,1.3783436970802763,5.4549517848095554,4.774155463695874,3.559964619831796
26,37,3,1984-03-01,3.285184233240179,4.875849821344067,5.394098404626096,1.8928006380934301
27,38,3,1984-04-01,4.514801348436999,3.7781132938170257,5.536265466500556,1.385207738943592
28,39,1,1984-05-01,5.115786159022642,2.4516964687831795,5.277287197175965,2.7472147724742504
29,40,1,1984-06-01,5.531476130200711,1.1043189084223584,4.547143115545674,3.9851364918552576
30,41,1,1984-07-01,5.635735007560427,1.5992872454808735,3.7105862974475623,4.875737959817388
31,42,2,1984-08-01,5.142978482593117,2.879771737935993,2.505906221419712,5.416536799220064
32,43,2,1984-09-01,4.398674064503866,3.7091663731516564,0.8789883809829623,5.47959759561905
33,44,2,1984-10-01,3.743770710116905,4.7986645746344605,1.5077502360314015,5.582366931741131
34,45,0,1984-11-01,1.9902551814170242,5.51754573404968,2.7973972882105937,5.12706906730584
35,46,0,1984-12-01,0.9559317964724039,5.7488987416996435,4.037132632591458,4.369358929917962
36,47,0,1985-01-01,1.4992455366670443,5.62300545034493,4.957236059024307,3.329268612375177
37,48,3,1985-02-01,2.629041327485506,5.289482640253627,5.4651917291181284,2.4537323363669956
38,49,3,1985-03-01,3.8020337131967,4.667097387242894,5.7522256953022675,1.0909458681879525
