start_idx,end_idx,cluster_id,start_month,dist_to_centroid_pca_0,dist_to_centroid_pca_1,dist_to_centroid_pca_2,dist_to_centroid_pca_3,lb_centroid_0,dtw_centroid_0,dtw_exact_flag_centroid_0,lb_centroid_1,dtw_centroid_1,dtw_exact_flag_centroid_1,lb_centroid_2,dtw_centroid_2,dtw_exact_flag_centroid_2,lb_centroid_3,dtw_centroid_3,dtw_exact_flag_centroid_3,dtw_to_mean,dtw_to_median,dtw_to_prev
0,11,0,1982-01-01,1.3294693676950744,5.765592794205011,3.9485064202796614,4.658239608622268,0.4545957681461657,1.2875147296235454,True,2.683619812571748,2.683619812571748,False,2.0378041816639603,3.3239569255748638,True,2.9479892025037606,3.5826963417884534,True,3.4469888940193245,3.4680617369700517,
1,12,0,1982-02-01,1.7770187244889444,5.829795842074049,4.900968270032777,3.685601951280588,0.6095100869927829,1.76694988018307,True,1.914329155126477,5.669532714809276,True,2.9151876247844273,3.360909071877083,True,1.8146462034868784,2.490981697659126,True,3.4612893914653613,3.4736265496178986,1.5881776302449027
2,13,3,1982-03-01,3.3026184699735692,5.036679508098667,5.451426017358469,2.545198924546525,0.8768309765036841,2.794236867396174,True,0.8679251147057068,2.926332798691891,True,3.136016053301174,3.8257356423293842,True,2.1284764671794525,2.3053201889676136,True,3.4499843589949366,3.4522967127910253,2.3886522871262827
3,14,3,1982-04-01,4.703645052420929,3.762960473611976,5.484187762542881,2.7592419941123345,1.4650180765518737,3.817768221843558,True,0.9022321498763964,2.2140196030818067,True,2.7053616609377094,4.2260763211678105,True,2.5813912712675386,2.70678854273249,True,3.436511762881201,3.4296088312481254,1.1521191296658249
4,15,1,1982-05-01,5.532439474306514,2.1319552772728794,4.984860095121133,3.8056608936513485,2.002531233179336,5.126467306648329,True,0.48286690590614234,1.2542010074989587,True,1.695140631226378,2.781677768854168,True,2.5898184903905093,2.866124423713647,True,3.4397626712098215,3.4291086264669453,1.358639086999055
5,16,1,1982-06-01,5.577840781078654,1.546419336850681,4.247552150092241,4.8265201992217035,2.2791301110132323,5.41613931738743,True,0.4465768959979753,1.35385845925964,True,0.9711307452595168,1.576224448563059,True,2.547242720135635,2.9510281185484994,True,3.438875348549304,3.434706670568423,1.3692404289116669
6,17,1,1982-07-01,5.3476367079723115,2.5401538264137358,3.1887518476985734,5.417904744550096,2.272118047420651,4.396647676664342,True,0.4634692414845517,1.650900416120053,True,0.6748204533833301,1.2910479221870814,True,2.5229635118305844,3.52796508660904,True,3.432561072174869,3.4339408340705506,0.219205691212694
7,18,2,1982-08-01,4.803445785620474,4.0398424231096675,2.0729898684863244,5.578468185809655,1.4326106899282562,2.970090736203837,True,0.5127682425254613,2.466667085837172,True,0.8139390223800146,1.3343727140336719,True,2.550207635607417,4.657285556076925,True,3.4367782742340243,3.4401338136190467,0.9255029644549647
8,19,2,1982-09-01,4.219598466929356,4.947000304482499,1.6787984154307238,5.439564020373442,0.5814716772269475,2.871766302822202,True,0.8338669090454237,2.5230265016944213,True,0.817664930124989,1.3408708167326073,True,2.8885891794986933,4.724388847035211,True,3.449763889533487,3.466186006081232,0.5826171751955613
9,20,2,1982-10-01,2.9278242498530282,5.563232934277215,2.7693026367440687,5.1723572125303,0.4614344381030337,2.0035608229234607,True,1.6102195108090522,3.935164075519886,True,1.2383736346671423,1.6420718570905697,True,3.1468092166864396,4.1402026478176746,True,3.4447023041114884,3.487908558283917,1.0958315119039417
10,21,0,1982-11-01,1.9052275254222846,5.6175776892868425,4.047842141439862,4.706129464889426,0.46204872020984095,1.925167829028016,True,1.9590617469610003,5.186075173523634,True,1.2661579446091977,1.7950332583915891,True,3.3223427198446993,3.7740925215734342,True,3.44305965010314,3.477246820211596,0.4547078788432816
11,22,0,1982-12-01,1.5073324262060699,5.487814124269896,5.033890451914242,3.956387810057643,0.4007734085865968,1.269062216131967,True,2.296947292980596,5.194811306794766,True,2.065611644435984,3.0237278163851578,True,3.0248374410369934,3.3614827644087835,True,3.4468579282815814,3.470393074440795,1.4936154724149706
12,23,0,1983-01-01,2.7417976919099023,5.267010567745378,5.467647402537465,3.0340588723047612,0.851190470268829,1.4809249167496399,True,2.31077591725828,5.19458782810443,True,3.2488436094981674,4.2698459865227925,True,1.8402023744918368,2.815760513031103,True,3.4670463390885655,3.4773933884651322,1.1367169407766209
13,24,3,1983-02-01,3.8487888922903117,5.0463654260715165,5.577029797123366,2.25869956446619,0.7038858931451991,2.9153528228494183,True,1.7913662694389372,5.071635339149178,True,3.7818154873262957,3.7818154873262957,False,0.38526512423719583,1.8447838218030803,True,3.4842773165894725,3.4732315083405005,1.6251767052834658
14,25,3,1983-03-01,4.341206286542156,4.823553964124225,5.572082517264525,1.7808331526973213,0.7707483171533996,4.183777959933359,True,1.2988082140618666,4.4551400334027,True,3.751043508841396,3.751043508841396,False,0.25503512896240776,1.3178130750715766,True,3.4871832838080254,3.467908657263094,1.0648335957090767
15,26,3,1983-04-01,4.628194783223186,4.413403479285547,5.63650578172273,1.3407570076447601,1.2693235125445903,4.460236414197652,True,0.9751564496014319,3.148020340863386,True,3.549896490795557,3.549896490795557,False,0.5086474941607275,1.5279625576418259,True,3.4813806949746664,3.4602367884218417,1.094084344602003
16,27,3,1983-05-01,4.997929784794437,3.724952907671816,5.85969225254686,1.490348361649456,1.175927378678796,4.46993857440204,True,0.5515093120275633,1.7521363413083428,True,2.927738310184426,4.582761320752291,True,0.5217433851750888,1.1702448080649503,True,3.465638730834195,3.427640608290305,1.257355804811299
17,28,1,1983-06-01,5.423508156084588,2.5170961047159532,5.626060104587022,2.629364748705714,1.9605950824315301,4.808931416528353,True,0.6266197358308324,1.6588787223723467,True,2.4160857332984174,3.4346835677745386,True,0.9050190443023406,1.4773713576090937,True,3.4610977259050593,3.432054509714013,0.4212513595328715
18,29,1,1983-07-01,5.772087909934487,1.3542752097096376,5.026404052028575,3.702231914122005,2.17801816638333,5.299348555272922,True,0.5096962152061317,1.2656627574129515,True,1.7436804497973417,2.26096485056939,True,1.375928996747998,1.7403567043563328,True,3.4616494803705766,3.4402468086643907,0.7825076082453086
19,30,1,1983-08-01,5.861234631683846,1.6982274914408022,3.9057565709787267,4.5498488236756325,2.0357949871598975,5.426035047624371,True,0.5867261947937983,1.4503990854529663,True,1.832095231189149,2.048736196542546,True,1.7247986276865899,2.423988305034472,True,3.473988263917427,3.4641772056187228,0.7399822306470142
20,31,2,1983-09-01,5.609520381197702,3.004571710993815,2.51690823433965,5.273867619005367,1.2036163275074458,4.55708525707891,True,0.19138141397085257,1.2757325778159223,True,1.2270654517146968,1.536450257035646,True,2.644667748644637,3.6395973498122864,True,3.463105374530897,3.48380451179923,1.0878672413807469
21,32,2,1983-10-01,4.876416768711687,4.2055328736876305,1.3648581676429445,5.667969011249042,0.5953561183626072,3.53727337948719,True,0.4001815260966921,1.715545877448206,True,1.1764259327285378,1.4111932489866952,True,3.1819894453289423,4.674651937965696,True,3.4426306514981473,3.498432110924395,0.9493927164376212
22,33,2,1983-11-01,3.6520547699269525,4.941945263540987,1.8106537665914044,5.731933949820637,0.5641700545293651,2.880833251340986,True,1.180133253347188,2.4940175009866863,True,0.2918562705920288,1.0305465634164377,True,3.817529357254987,3.817529357254987,False,3.4203307084136356,3.466968433049518,1.549338566501567
23,34,0,1983-12-01,2.2274135086725293,5.40882203505109,3.127035641308483,5.430458862980796,0.26672139566890346,1.4028514357429123,True,2.059575694396595,5.18762048987738,True,0.6828851101545359,2.2284662320708555,True,3.9010077512262775,3.9010077512262775,False,3.423258883627279,3.4551587584444765,2.0057666212829974
24,35,0,1984-01-01,1.1336196490725479,5.647616740074959,4.110573793335549,4.818299663885742,0.23714512869513804,1.0413110577333238,True,2.3174154173389074,5.7330704493667675,True,1.6829844477349232,2.7733931495610347,True,3.5133268864075387,3.80233736104303,True,3.4335130357558197,3.4652977675272685,0.9257689801459051
25,36,0,1984-02-01,1.3783436970802763,5.4549517848095554,4.774155463695874,3.559964619831796,0.34067193032242765,1.5536784541407525,True,2.0339359328765547,5.102071417748412,True,2.4285853218112314,3.609418105358276,True,2.908266975606628,3.079238508667763,True,3.45043583416015,3.4758132044898917,0.9961219782966464
26,37,3,1984-03-01,3.285184233240179,4.875849821344067,5.394098404626096,1.8928006380934301,0.8376481410693778,2.3669889513258253,True,1.2558828277520078,3.322853971978575,True,3.0432369797560836,4.156173720132925,True,1.7698255771088895,2.240477753449284,True,3.4435599293381247,3.4240012542603693,1.370653125751773
