start_idx,end_idx,start_month,dtw_to_mean,dtw_to_median,dtw_to_prev
0,11,1982-01-01,3.4469888940193245,3.4680617369700517,
1,12,1982-02-01,3.4612893914653613,3.4736265496178986,1.5881776302449027
2,13,1982-03-01,3.4499843589949366,3.4522967127910253,2.3886522871262827
3,14,1982-04-01,3.436511762881201,3.4296088312481254,1.1521191296658249
4,15,1982-05-01,3.4397626712098215,3.4291086264669453,1.358639086999055
5,16,1982-06-01,3.438875348549304,3.434706670568423,1.3692404289116669
6,17,1982-07-01,3.432561072174869,3.4339408340705506,0.219205691212694
7,18,1982-08-01,3.4367782742340243,3.4401338136190467,0.9255029644549647
8,19,1982-09-01,3.449763889533487,3.466186006081232,0.5826171751955613
9,20,1982-10-01,3.4447023041114884,3.487908558283917,1.0958315119039417
10,21,1982-11-01,3.44305965010314,3.477246820211596,0.4547078788432816
11,22,1982-12-01,3.4468579282815814,3.470393074440795,1.4936154724149706
12,23,1983-01-01,3.4670463390885655,3.4773933884651322,1.1367169407766209
13,24,1983-02-01,3.4842773165894725,3.4732315083405005,1.6251767052834658
14,25,1983-03-01,3.4871832838080254,3.467908657263094,1.0648335957090767
15,26,1983-04-01,3.4813806949746664,3.4602367884218417,1.094084344602003
16,27,1983-05-01,3.465638730834195,3.427640608290305,1.257355804811299
17,28,1983-06-01,3.4610977259050593,3.432054509714013,0.4212513595328715
18,29,1983-07-01,3.4616494803705766,3.4402468086643907,0.7825076082453086
19,30,1983-08-01,3.473988263917427,3.4641772056187228,0.7399822306470142
20,31,1983-09-01,3.463105374530897,3.48380451179923,1.0878672413807469
21,32,1983-10-01,3.4426306514981473,3.498432110924395,0.9493927164376212
22,33,1983-11-01,3.4203307084136356,3.466968433049518,1.549338566501567
23,34,1983-12-01,3.423258883627279,3.4551587584444765,2.0057666212829974
24,35,1984-01-01,3.4335130357558197,3.4652977675272685,0.9257689801459051
25,36,1984-02-01,3.45043583416015,3.4758132044898917,0.9961219782966464
26,37,1984-03-01,3.4435599293381247,3.4240012542603693,1.370653125751773
27,38,1984-04-01,3.4556031656880495,3.4320479861285262,1.7352851840632253
28,39,1984-05-01,3.4532839561648103,3.429848361982004,0.8668981186896488
29,40,1984-06-01,3.4475078842806366,3.433981330212351,0.9340780417038848
30,41,1984-07-01,3.4337106489805436,3.428619291818809,0.8781366171465405
31,42,1984-08-01,3.4313648289441425,3.4773363320224395,2.018591541790683
32,43,1984-09-01,3.4164134218404145,3.4708486177869196,1.5188211636020514
33,44,1984-10-01,3.4273397191082005,3.5014176804570925,1.6350366868483612
34,45,1984-11-01,3.432345579156486,3.5014659100731413,1.4213443202523899
35,46,1984-12-01,3.4493083003414444,3.4960428038942246,0.8670195896247801
36,47,1985-01-01,3.464770154548271,3.4929862338537614,1.2923057233659587
37,48,1985-02-01,3.471562275195264,3.4793323465892434,1.0136820513410514
38,49,1985-03-01,3.456281258024236,3.4437335779568534,1.7266325565400646
39,50,1985-04-01,3.4690363550376997,3.444891253364455,0.9181075118755834
40,51,1985-05-01,3.4677976454872117,3.4435518813866466,1.5678711857083154
41,52,1985-06-01,3.451665527381907,3.4399097263354323,1.0567654863591054
42,53,1985-07-01,3.4303504461819734,3.4251559556414586,1.6139108224724052
43,54,1985-08-01,3.446830046504879,3.4679994733909316,0.931376870336543
44,55,1985-09-01,3.444865272170974,3.487297117864573,1.2014590262164015
45,56,1985-10-01,3.443316903291423,3.5319661630924215,1.9553212019973913
46,57,1985-11-01,3.4516035328348087,3.524249965538884,0.2752740110873338
47,58,1985-12-01,3.451253305533824,3.502646541756,0.716084872787867
48,59,1986-01-01,3.458226072422788,3.49657777558071,0.695012673027406
49,60,1986-02-01,3.47034788303703,3.484261468531042,1.790703874185824
50,61,1986-03-01,3.4599808297005676,3.457210221229184,1.4837313485586034
51,62,1986-04-01,3.458412937185342,3.4371442812478255,1.5114303156314208
52,63,1986-05-01,3.4589395159699396,3.4331763470011842,0.999821796635523
53,64,1986-06-01,3.4610572346216353,3.44705693381652,0.44641636802336804
54,65,1986-07-01,3.460746157925028,3.4694484220259922,1.1889764860621261
55,66,1986-08-01,3.466907180108053,3.5017878277062326,0.8256496178468627
56,67,1986-09-01,3.4604030444139116,3.5163695409366076,1.883693853341299
57,68,1986-10-01,3.442662255762332,3.4832549559387984,0.3618939961200128
58,69,1986-11-01,3.4201970312586303,3.4606229510833155,0.6042415615921297
59,70,1986-12-01,3.4178089238958536,3.4589550488699734,0.9332719731027236
60,71,1987-01-01,3.435136016962413,3.468584804446149,1.4995630844350787
61,72,1987-02-01,3.4600215384881516,3.4769870409710237,1.2279344066700264
62,73,1987-03-01,3.4635750667287155,3.4615716226902404,1.4508762237311823
63,74,1987-04-01,3.4662382470959185,3.4512194891097288,0.8124434035378487
64,75,1987-05-01,3.455720965292891,3.4300476572474663,1.008529795948919
65,76,1987-06-01,3.4597447291665184,3.440491729764651,1.867672209958993
66,77,1987-07-01,3.446300890369831,3.4295498808565776,0.979867083737359
67,78,1987-08-01,3.4338782437261544,3.4402517810729702,1.6999580971013581
68,79,1987-09-01,3.465535811040323,3.466537275142615,0.694420821851184
69,80,1987-10-01,3.4512429977819146,3.503821179829816,0.7327664068967817
70,81,1987-11-01,3.4278116250756945,3.4614634245396423,1.3560400280597498
71,82,1987-12-01,3.445958963011706,3.4591895447299934,2.453098205441695
72,83,1988-01-01,3.4642934698117824,3.4679521972393514,0.7540928610928125
73,84,1988-02-01,3.467351660490825,3.4593946859613354,0.7937484455405881
74,85,1988-03-01,3.469968871541882,3.4503848507815276,0.5061276833900071
75,86,1988-04-01,3.482026596173445,3.455636905936997,0.9685443636226108
76,87,1988-05-01,3.473230310267773,3.4456716994331256,1.5583084711229944
77,88,1988-06-01,3.4673756713850192,3.436174209645238,1.0820689677536726
78,89,1988-07-01,3.4544527480768097,3.432339488224554,1.3658358075119275
79,90,1988-08-01,3.4399458654403197,3.4180973699507504,0.8405901133928136
80,91,1988-09-01,3.44963009401382,3.44907332687909,1.2254867861308287
81,92,1988-10-01,3.4464941432689904,3.483942285543179,0.9137924554812729
82,93,1988-11-01,3.421534822961637,3.4770463408569023,2.4557162839239863
83,94,1988-12-01,3.4213459521246645,3.4661371581435096,1.0579191599161324
84,95,1989-01-01,3.441594639114493,3.4731485920887297,1.1468101694446602
85,96,1989-02-01,3.455431175308671,3.4702208571366366,0.43494846011519955
86,97,1989-03-01,3.4406085736067387,3.448824658990231,2.9164303103114113
87,98,1989-04-01,3.4383937204841875,3.432168898917263,1.5822007856503737
88,99,1989-05-01,3.431974999543152,3.4285620946874102,0.8381910181356403
89,100,1989-06-01,3.4393489089298623,3.4257150812201296,0.5639084940008889
90,101,1989-07-01,3.4518273794934013,3.4402816743897557,0.6299200893604103
91,102,1989-08-01,3.4481531863019197,3.4927064207148075,1.215169334998902
92,103,1989-09-01,3.422331563918943,3.4775681889059435,0.6942648832968885
93,104,1989-10-01,3.4183936749258717,3.4666099215268193,1.051559789577468
94,105,1989-11-01,3.42117330297907,3.4659320274322654,0.6656079546129207
95,106,1989-12-01,3.432299456670456,3.4720119180392977,0.8128719470723138
96,107,1990-01-01,3.4529262861945327,3.476656018197104,1.202127596204838
97,108,1990-02-01,3.4670197057279983,3.467875374788313,1.8608115287815012
98,109,1990-03-01,3.4776910797893237,3.451604950327357,1.148206196985313
99,110,1990-04-01,3.471757714229178,3.44326013415384,1.1888669472112525
100,111,1990-05-01,3.4670815381745372,3.4423122051573216,0.5806582613666664
101,112,1990-06-01,3.46075330722401,3.4402732849997673,0.6356992321542095
102,113,1990-07-01,3.4364933413696384,3.4283208974523496,2.159743213738834
103,114,1990-08-01,3.4320913217226114,3.4488563220528228,0.9842840555927791
104,115,1990-09-01,3.424953107236953,3.4534443133001416,1.3530366632339086
105,116,1990-10-01,3.4401475372824186,3.468542945432752,1.1781819399498747
106,117,1990-11-01,3.4313286966296563,3.468837968568288,0.45808793870335995
107,118,1990-12-01,3.442322274162314,3.4761097416601516,1.908976707129982
108,119,1991-01-01,3.467036334668735,3.4790585495577866,1.0209490035712836
109,120,1991-02-01,3.4678614979896785,3.4624373049393644,1.2900430555819233
110,121,1991-03-01,3.4482481048916074,3.4220459110634933,1.2837268340691312
111,122,1991-04-01,3.4444475724879173,3.42151271182771,0.794067920303408
112,123,1991-05-01,3.443306609286122,3.4221350833596493,0.28787378336945685
113,124,1991-06-01,3.4543442590804134,3.4410597656769863,1.02086066508386
114,125,1991-07-01,3.445222641896003,3.442327746976895,0.23354884451525038
115,126,1991-08-01,3.4419643242803515,3.437108510001898,0.8190344708527888
116,127,1991-09-01,3.431783480938017,3.459788414212541,1.0487063999139532
117,128,1991-10-01,3.4272949255075487,3.475626396512012,0.6045629750006002
118,129,1991-11-01,3.4226161907217474,3.4588616974433446,1.4880155325777893
119,130,1991-12-01,3.443688565919626,3.4652575969516097,1.7420347940764365
120,131,1992-01-01,3.4697637929617553,3.477848803426467,1.4065351319258195
121,132,1992-02-01,3.477847343992709,3.467387430359809,1.4410744595794291
