index,month,lag_1,lag_2,lag_3,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,month_sin,month_cos,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,ts_hour,ts_day,ts_weekday,ts_month,ts_dayofyear,y_lag_1,y_lag_24,y_lag_168,y_roll_mean_3,y_roll_std_3,y_roll_mean_24,y_roll_std_24,y_roll_mean_168,y_roll_std_168,y
2000-01-01,1,26.2,27.3,27.4,25.9,26.96666666666667,27.45,27.358333333333334,0.49999999999999994,0.8660254037844387,True,False,False,False,False,False,False,False,False,False,False,False,0,1,5,1,1,,,,,0.0,,0.0,,0.0,26.5
2000-02-01,2,26.5,26.2,27.3,27.1,26.666666666666668,27.166666666666668,27.408333333333335,0.8660254037844386,0.5000000000000001,False,True,False,False,False,False,False,False,False,False,False,False,0,1,1,2,32,26.5,,,26.5,0.0,26.5,0.0,26.5,0.0,28.1
2000-03-01,3,28.1,26.5,26.2,27.2,26.933333333333334,27.233333333333334,27.491666666666664,1.0,6.123233995736766e-17,False,False,True,False,False,False,False,False,False,False,False,False,0,1,2,3,61,28.1,,,27.3,1.1313708498984771,27.3,1.1313708498984771,27.3,1.1313708498984771,28.9
2000-04-01,4,28.9,28.1,26.5,27.0,27.833333333333332,27.399999999999995,27.633333333333336,0.8660254037844387,-0.4999999999999998,False,False,False,True,False,False,False,False,False,False,False,False,0,1,5,4,92,28.9,,,27.833333333333332,1.2220201853215573,27.833333333333332,1.2220201853215573,27.833333333333332,1.2220201853215573,29.4
2000-05-01,5,29.4,28.9,28.1,28.0,28.799999999999997,27.733333333333334,27.833333333333332,0.49999999999999994,-0.8660254037844387,False,False,False,False,True,False,False,False,False,False,False,False,0,1,0,5,122,29.4,,,28.8,0.6557438524301998,28.225,1.2685293322058686,28.225,1.2685293322058686,28.3
2000-06-01,6,28.3,29.4,28.9,28.4,28.866666666666664,27.900000000000002,27.858333333333334,1.2246467991473532e-16,-1.0,False,False,False,False,False,True,False,False,False,False,False,False,0,1,3,6,153,28.3,,,28.866666666666664,0.5507570547286105,28.24,1.099090533122727,28.24,1.099090533122727,28.3
2000-07-01,7,28.3,28.3,29.4,28.2,28.666666666666668,28.25,27.849999999999998,-0.4999999999999997,-0.8660254037844388,False,False,False,False,False,False,True,False,False,False,False,False,0,1,5,7,183,28.3,,,28.666666666666668,0.6350852961085889,28.25,0.9833615815151618,28.25,0.9833615815151618,27.6
2000-08-01,8,27.6,28.3,28.3,27.7,28.066666666666666,28.433333333333337,27.799999999999997,-0.8660254037844385,-0.5000000000000004,False,False,False,False,False,False,False,True,False,False,False,False,0,1,1,8,214,27.6,,,28.066666666666666,0.4041451884327449,28.157142857142855,0.9306935457982269,28.157142857142855,0.9306935457982269,28.1
2000-09-01,9,28.1,27.6,28.3,27.9,28.0,28.433333333333334,27.833333333333332,-1.0,-1.8369701987210297e-16,False,False,False,False,False,False,False,False,True,False,False,False,0,1,4,9,245,28.1,,,28.0,0.36055512754640723,28.15,0.8618916073713346,28.15,0.8618916073713346,27.2
2000-10-01,10,27.2,28.1,27.6,27.4,27.633333333333336,28.150000000000002,27.775000000000002,-0.8660254037844386,0.5000000000000001,False,False,False,False,False,False,False,False,False,True,False,False,0,1,6,10,275,27.2,,,27.633333333333336,0.45092497528230024,28.044444444444444,0.8661857640124193,28.044444444444444,0.8661857640124193,27.6
