idx,y,year,month_of_year,IS_WEEKEND(month),MONTH(month),WEEKDAY(month)
0,25.9,1982,1,False,1,4
1,27.1,1982,2,False,2,0
2,27.2,1982,3,False,3,0
3,27.0,1982,4,False,4,3
4,28.0,1982,5,True,5,5
5,28.4,1982,6,False,6,1
6,28.2,1982,7,False,7,3
7,27.7,1982,8,True,8,6
8,27.9,1982,9,False,9,2
9,27.4,1982,10,False,10,4
10,27.3,1982,11,False,11,0
11,26.2,1982,12,False,12,2
12,26.5,1983,1,True,1,5
13,28.1,1983,2,False,2,1
14,28.9,1983,3,False,3,1
15,29.4,1983,4,False,4,4
16,28.3,1983,5,True,5,6
17,28.3,1983,6,False,6,2
18,27.6,1983,7,False,7,4
19,28.1,1983,8,False,8,0
20,27.2,1983,9,False,9,3
21,27.6,1983,10,True,10,5
22,26.6,1983,11,False,11,1
23,25.4,1983,12,False,12,3
24,25.5,1984,1,True,1,6
25,25.8,1984,2,False,2,2
26,26.5,1984,3,False,3,3
27,27.3,1984,4,True,4,6
28,27.3,1984,5,False,5,1
29,27.5,1984,6,False,6,4
30,27.2,1984,7,True,7,6
31,27.4,1984,8,False,8,2
32,26.8,1984,9,True,9,5
33,27.4,1984,10,False,10,0
34,26.5,1984,11,False,11,3
35,26.0,1984,12,True,12,5
36,26.6,1985,1,False,1,1
37,27.0,1985,2,False,2,4
38,27.1,1985,3,False,3,4
39,27.5,1985,4,False,4,0
40,28.0,1985,5,False,5,2
41,28.2,1985,6,True,6,5
42,27.0,1985,7,False,7,0
43,27.7,1985,8,False,8,3
44,26.9,1985,9,True,9,6
45,26.7,1985,10,False,10,1
46,26.6,1985,11,False,11,4
47,26.1,1985,12,True,12,6
48,25.7,1986,1,False,1,2
49,26.9,1986,2,True,2,5
50,26.4,1986,3,True,3,5
51,27.4,1986,4,False,4,1
52,28.2,1986,5,False,5,3
53,27.9,1986,6,True,6,6
54,27.9,1986,7,False,7,1
55,28.3,1986,8,False,8,4
56,26.7,1986,9,False,9,0
57,26.9,1986,10,False,10,2
58,26.6,1986,11,True,11,5
59,26.3,1986,12,False,12,0
60,25.5,1987,1,False,1,3
61,26.6,1987,2,True,2,6
62,27.5,1987,3,True,3,6
63,27.9,1987,4,False,4,2
64,27.6,1987,5,False,5,4
