month,y,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,roll_mean_3,roll_mean_6,roll_mean_12,month_sin,month_cos
1,26.5,26.2,27.3,27.4,27.9,27.7,28.2,28.4,28.0,27.0,27.2,27.1,25.9,26.96666666666667,27.45,27.358333333333334,0.49999999999999994,0.8660254037844387
2,28.1,26.5,26.2,27.3,27.4,27.9,27.7,28.2,28.4,28.0,27.0,27.2,27.1,26.666666666666668,27.166666666666668,27.408333333333335,0.8660254037844386,0.5000000000000001
3,28.9,28.1,26.5,26.2,27.3,27.4,27.9,27.7,28.2,28.4,28.0,27.0,27.2,26.933333333333334,27.233333333333334,27.491666666666664,1.0,6.123233995736766e-17
4,29.4,28.9,28.1,26.5,26.2,27.3,27.4,27.9,27.7,28.2,28.4,28.0,27.0,27.833333333333332,27.399999999999995,27.633333333333336,0.8660254037844387,-0.4999999999999998
5,28.3,29.4,28.9,28.1,26.5,26.2,27.3,27.4,27.9,27.7,28.2,28.4,28.0,28.799999999999997,27.733333333333334,27.833333333333332,0.49999999999999994,-0.8660254037844387
6,28.3,28.3,29.4,28.9,28.1,26.5,26.2,27.3,27.4,27.9,27.7,28.2,28.4,28.866666666666664,27.900000000000002,27.858333333333334,1.2246467991473532e-16,-1.0
7,27.6,28.3,28.3,29.4,28.9,28.1,26.5,26.2,27.3,27.4,27.9,27.7,28.2,28.666666666666668,28.25,27.849999999999998,-0.4999999999999997,-0.8660254037844388
8,28.1,27.6,28.3,28.3,29.4,28.9,28.1,26.5,26.2,27.3,27.4,27.9,27.7,28.066666666666666,28.433333333333337,27.799999999999997,-0.8660254037844385,-0.5000000000000004
9,27.2,28.1,27.6,28.3,28.3,29.4,28.9,28.1,26.5,26.2,27.3,27.4,27.9,28.0,28.433333333333334,27.833333333333332,-1.0,-1.8369701987210297e-16
10,27.6,27.2,28.1,27.6,28.3,28.3,29.4,28.9,28.1,26.5,26.2,27.3,27.4,27.633333333333336,28.150000000000002,27.775000000000002,-0.8660254037844386,0.5000000000000001
11,26.6,27.6,27.2,28.1,27.6,28.3,28.3,29.4,28.9,28.1,26.5,26.2,27.3,27.633333333333336,27.850000000000005,27.791666666666668,-0.5000000000000004,0.8660254037844384
12,25.4,26.6,27.6,27.2,28.1,27.6,28.3,28.3,29.4,28.9,28.1,26.5,26.2,27.133333333333336,27.566666666666666,27.733333333333334,-2.4492935982947064e-16,1.0
1,25.5,25.4,26.6,27.6,27.2,28.1,27.6,28.3,28.3,29.4,28.9,28.1,26.5,26.53333333333333,27.083333333333332,27.666666666666668,0.49999999999999994,0.8660254037844387
2,25.8,25.5,25.4,26.6,27.6,27.2,28.1,27.6,28.3,28.3,29.4,28.9,28.1,25.833333333333332,26.73333333333333,27.583333333333332,0.8660254037844386,0.5000000000000001
3,26.5,25.8,25.5,25.4,26.6,27.6,27.2,28.1,27.6,28.3,28.3,29.4,28.9,25.566666666666666,26.349999999999998,27.39166666666667,1.0,6.123233995736766e-17
4,27.3,26.5,25.8,25.5,25.4,26.6,27.6,27.2,28.1,27.6,28.3,28.3,29.4,25.933333333333334,26.233333333333334,27.191666666666666,0.8660254037844387,-0.4999999999999998
5,27.3,27.3,26.5,25.8,25.5,25.4,26.6,27.6,27.2,28.1,27.6,28.3,28.3,26.53333333333333,26.183333333333337,27.016666666666666,0.49999999999999994,-0.8660254037844387
6,27.5,27.3,27.3,26.5,25.8,25.5,25.4,26.6,27.6,27.2,28.1,27.6,28.3,27.033333333333335,26.299999999999997,26.933333333333334,1.2246467991473532e-16,-1.0
7,27.2,27.5,27.3,27.3,26.5,25.8,25.5,25.4,26.6,27.6,27.2,28.1,27.6,27.36666666666667,26.649999999999995,26.866666666666664,-0.4999999999999997,-0.8660254037844388
8,27.4,27.2,27.5,27.3,27.3,26.5,25.8,25.5,25.4,26.6,27.6,27.2,28.1,27.333333333333332,26.933333333333334,26.833333333333332,-0.8660254037844385,-0.5000000000000004
9,26.8,27.4,27.2,27.5,27.3,27.3,26.5,25.8,25.5,25.4,26.6,27.6,27.2,27.366666666666664,27.2,26.775000000000002,-1.0,-1.8369701987210297e-16
10,27.4,26.8,27.4,27.2,27.5,27.3,27.3,26.5,25.8,25.5,25.4,26.6,27.6,27.133333333333336,27.25,26.74166666666667,-0.8660254037844386,0.5000000000000001
11,26.5,27.4,26.8,27.4,27.2,27.5,27.3,27.3,26.5,25.8,25.5,25.4,26.6,27.2,27.266666666666666,26.724999999999998,-0.5000000000000004,0.8660254037844384
12,26.0,26.5,27.4,26.8,27.4,27.2,27.5,27.3,27.3,26.5,25.8,25.5,25.4,26.900000000000002,27.133333333333336,26.71666666666667,-2.4492935982947064e-16,1.0
1,26.6,26.0,26.5,27.4,26.8,27.4,27.2,27.5,27.3,27.3,26.5,25.8,25.5,26.633333333333336,26.883333333333336,26.766666666666666,0.49999999999999994,0.8660254037844387
2,27.0,26.6,26.0,26.5,27.4,26.8,27.4,27.2,27.5,27.3,27.3,26.5,25.8,26.366666666666664,26.78333333333333,26.858333333333334,0.8660254037844386,0.5000000000000001
3,27.1,27.0,26.6,26.0,26.5,27.4,26.8,27.4,27.2,27.5,27.3,27.3,26.5,26.53333333333333,26.71666666666667,26.958333333333332,1.0,6.123233995736766e-17
4,27.5,27.1,27.0,26.6,26.0,26.5,27.4,26.8,27.4,27.2,27.5,27.3,27.3,26.900000000000002,26.766666666666666,27.00833333333333,0.8660254037844387,-0.4999999999999998
5,28.0,27.5,27.1,27.0,26.6,26.0,26.5,27.4,26.8,27.4,27.2,27.5,27.3,27.200000000000003,26.78333333333333,27.025000000000002,0.49999999999999994,-0.8660254037844387
6,28.2,28.0,27.5,27.1,27.0,26.6,26.0,26.5,27.4,26.8,27.4,27.2,27.5,27.533333333333335,27.03333333333333,27.083333333333332,1.2246467991473532e-16,-1.0
7,27.0,28.2,28.0,27.5,27.1,27.0,26.6,26.0,26.5,27.4,26.8,27.4,27.2,27.899999999999995,27.400000000000002,27.141666666666666,-0.4999999999999997,-0.8660254037844388
8,27.7,27.0,28.2,28.0,27.5,27.1,27.0,26.6,26.0,26.5,27.4,26.8,27.4,27.73333333333333,27.46666666666667,27.125,-0.8660254037844385,-0.5000000000000004
9,26.9,27.7,27.0,28.2,28.0,27.5,27.1,27.0,26.6,26.0,26.5,27.4,26.8,27.63333333333333,27.583333333333332,27.150000000000002,-1.0,-1.8369701987210297e-16
10,26.7,26.9,27.7,27.0,28.2,28.0,27.5,27.1,27.0,26.6,26.0,26.5,27.4,27.2,27.55,27.15833333333333,-0.8660254037844386,0.5000000000000001
11,26.6,26.7,26.9,27.7,27.0,28.2,28.0,27.5,27.1,27.0,26.6,26.0,26.5,27.099999999999998,27.416666666666668,27.099999999999998,-0.5000000000000004,0.8660254037844384
12,26.1,26.6,26.7,26.9,27.7,27.0,28.2,28.0,27.5,27.1,27.0,26.6,26.0,26.73333333333333,27.183333333333337,27.108333333333334,-2.4492935982947064e-16,1.0
1,25.7,26.1,26.6,26.7,26.9,27.7,27.0,28.2,28.0,27.5,27.1,27.0,26.6,26.46666666666667,26.833333333333332,27.116666666666664,0.49999999999999994,0.8660254037844387
2,26.9,25.7,26.1,26.6,26.7,26.9,27.7,27.0,28.2,28.0,27.5,27.1,27.0,26.133333333333336,26.616666666666664,27.041666666666668,0.8660254037844386,0.5000000000000001
3,26.4,26.9,25.7,26.1,26.6,26.7,26.9,27.7,27.0,28.2,28.0,27.5,27.1,26.233333333333334,26.483333333333334,27.03333333333333,1.0,6.123233995736766e-17
4,27.4,26.4,26.9,25.7,26.1,26.6,26.7,26.9,27.7,27.0,28.2,28.0,27.5,26.333333333333332,26.400000000000002,26.974999999999998,0.8660254037844387,-0.4999999999999998
5,28.2,27.4,26.4,26.9,25.7,26.1,26.6,26.7,26.9,27.7,27.0,28.2,28.0,26.899999999999995,26.516666666666666,26.96666666666667,0.49999999999999994,-0.8660254037844387
6,27.9,28.2,27.4,26.4,26.9,25.7,26.1,26.6,26.7,26.9,27.7,27.0,28.2,27.333333333333332,26.783333333333335,26.983333333333334,1.2246467991473532e-16,-1.0
7,27.9,27.9,28.2,27.4,26.4,26.9,25.7,26.1,26.6,26.7,26.9,27.7,27.0,27.833333333333332,27.083333333333332,26.958333333333332,-0.4999999999999997,-0.8660254037844388
8,28.3,27.9,27.9,28.2,27.4,26.4,26.9,25.7,26.1,26.6,26.7,26.9,27.7,28.0,27.45,27.033333333333335,-0.8660254037844385,-0.5000000000000004
9,26.7,28.3,27.9,27.9,28.2,27.4,26.4,26.9,25.7,26.1,26.6,26.7,26.9,28.03333333333333,27.683333333333334,27.08333333333333,-1.0,-1.8369701987210297e-16
10,26.9,26.7,28.3,27.9,27.9,28.2,27.4,26.4,26.9,25.7,26.1,26.6,26.7,27.633333333333336,27.73333333333333,27.066666666666666,-0.8660254037844386,0.5000000000000001
11,26.6,26.9,26.7,28.3,27.9,27.9,28.2,27.4,26.4,26.9,25.7,26.1,26.6,27.3,27.650000000000002,27.083333333333332,-0.5000000000000004,0.8660254037844384
12,26.3,26.6,26.9,26.7,28.3,27.9,27.9,28.2,27.4,26.4,26.9,25.7,26.1,26.733333333333334,27.38333333333333,27.083333333333332,-2.4492935982947064e-16,1.0
1,25.5,26.3,26.6,26.9,26.7,28.3,27.9,27.9,28.2,27.4,26.4,26.9,25.7,26.599999999999998,27.116666666666664,27.099999999999998,0.49999999999999994,0.8660254037844387
2,26.6,25.5,26.3,26.6,26.9,26.7,28.3,27.9,27.9,28.2,27.4,26.4,26.9,26.133333333333336,26.71666666666667,27.08333333333333,0.8660254037844386,0.5000000000000001
3,27.5,26.6,25.5,26.3,26.6,26.9,26.7,28.3,27.9,27.9,28.2,27.4,26.4,26.133333333333336,26.433333333333334,27.058333333333334,1.0,6.123233995736766e-17
4,27.9,27.5,26.6,25.5,26.3,26.6,26.9,26.7,28.3,27.9,27.9,28.2,27.4,26.533333333333335,26.566666666666666,27.150000000000002,0.8660254037844387,-0.4999999999999998
5,27.6,27.9,27.5,26.6,25.5,26.3,26.6,26.9,26.7,28.3,27.9,27.9,28.2,27.333333333333332,26.733333333333334,27.191666666666663,0.49999999999999994,-0.8660254037844387
6,28.7,27.6,27.9,27.5,26.6,25.5,26.3,26.6,26.9,26.7,28.3,27.9,27.9,27.666666666666668,26.900000000000002,27.141666666666666,1.2246467991473532e-16,-1.0
7,28.1,28.7,27.6,27.9,27.5,26.6,25.5,26.3,26.6,26.9,26.7,28.3,27.9,28.066666666666663,27.3,27.208333333333332,-0.4999999999999997,-0.8660254037844388
8,27.4,28.1,28.7,27.6,27.9,27.5,26.6,25.5,26.3,26.6,26.9,26.7,28.3,28.133333333333336,27.733333333333334,27.224999999999998,-0.8660254037844385,-0.5000000000000004
